target_id,repo,fqcn,variant,population_status,measurement_status,test_count,kept_count,manual_line_covered,combined_line_covered,incremental_line_covered,line_total,incremental_line_percentage,manual_branch_covered,combined_branch_covered,incremental_branch_covered,branch_total,incremental_branch_percentage,target_class_id,manual_exec,final_exec,target_classfile,detail
T04_SubscriptionState,apache/kafka,org.apache.kafka.clients.consumer.internals.SubscriptionState,LLM,verified,verified_source_file_aggregate,81,25,403,496,93,544,17.095588235294116,162,196,34,275,12.363636363636363,source-file:804f137fbd22998c,pipeline-output/runs/T04_SubscriptionState/covfilter/adopted/20260826-1400-rq1-adopted-oracle-repair/baseline_manual.exec,pipeline-output/runs/T04_SubscriptionState/covfilter/adopted/20260826-1400-rq1-adopted-oracle-repair/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T04_SubscriptionState/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T04_SubscriptionState,apache/kafka,org.apache.kafka.clients.consumer.internals.SubscriptionState,Agentic,verified,verified_source_file_aggregate,25,23,403,503,100,544,18.38235294117647,162,212,50,275,18.181818181818183,source-file:804f137fbd22998c,pipeline-output/runs/T04_SubscriptionState/covfilter/agentic/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T04_SubscriptionState/covfilter/agentic/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T04_SubscriptionState/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T05_AsyncClientClass,aws/aws-sdk-java-v2,software.amazon.awssdk.codegen.poet.client.AsyncClientClass,ES,verified,verified_source_file_aggregate,21,1,251,251,0,259,0.0,38,39,1,42,2.380952380952381,source-file:3c43a03b06e94b6c,pipeline-output/runs/T05_AsyncClientClass/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T05_AsyncClientClass/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T05_AsyncClientClass/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T05_AsyncClientClass,aws/aws-sdk-java-v2,software.amazon.awssdk.codegen.poet.client.AsyncClientClass,LLM,verified,verified_source_file_aggregate,1,1,251,251,0,259,0.0,38,39,1,42,2.380952380952381,source-file:3c43a03b06e94b6c,pipeline-output/runs/T05_AsyncClientClass/covfilter/adopted/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T05_AsyncClientClass/covfilter/adopted/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T05_AsyncClientClass/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T05_AsyncClientClass,aws/aws-sdk-java-v2,software.amazon.awssdk.codegen.poet.client.AsyncClientClass,Agentic,verified,verified_source_file_aggregate,3,2,251,259,8,259,3.088803088803089,38,42,4,42,9.523809523809524,source-file:3c43a03b06e94b6c,pipeline-output/runs/T05_AsyncClientClass/covfilter/agentic/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T05_AsyncClientClass/covfilter/agentic/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T05_AsyncClientClass/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T06_SyncClientClass,aws/aws-sdk-java-v2,software.amazon.awssdk.codegen.poet.client.SyncClientClass,ES,verified,verified_source_file_aggregate,20,2,191,192,1,201,0.4975124378109453,22,24,2,27,7.407407407407407,source-file:58aee721279e20fe,pipeline-output/runs/T06_SyncClientClass/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T06_SyncClientClass/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T06_SyncClientClass/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T06_SyncClientClass,aws/aws-sdk-java-v2,software.amazon.awssdk.codegen.poet.client.SyncClientClass,LLM,verified,verified_source_file_aggregate,14,1,191,192,1,201,0.4975124378109453,22,24,2,27,7.407407407407407,source-file:58aee721279e20fe,pipeline-output/runs/T06_SyncClientClass/covfilter/adopted/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T06_SyncClientClass/covfilter/adopted/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T06_SyncClientClass/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T06_SyncClientClass,aws/aws-sdk-java-v2,software.amazon.awssdk.codegen.poet.client.SyncClientClass,Agentic,verified,verified_source_file_aggregate,4,3,191,200,9,201,4.477611940298507,22,26,4,27,14.814814814814815,source-file:58aee721279e20fe,pipeline-output/runs/T06_SyncClientClass/covfilter/agentic/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T06_SyncClientClass/covfilter/agentic/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T06_SyncClientClass/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T07_ImplementationBridgeHelpers,azure/azure-sdk-for-java,com.azure.cosmos.implementation.ImplementationBridgeHelpers,ES,verified,verified_source_file_aggregate,49,33,348,443,95,543,17.495395948434624,114,160,46,238,19.327731092436974,source-file:c895af7e7b37d061,pipeline-output/runs/T07_ImplementationBridgeHelpers/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T07_ImplementationBridgeHelpers/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T07_ImplementationBridgeHelpers/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T07_ImplementationBridgeHelpers,azure/azure-sdk-for-java,com.azure.cosmos.implementation.ImplementationBridgeHelpers,LLM,verified,verified_source_file_aggregate,24,24,348,443,95,543,17.495395948434624,114,160,46,238,19.327731092436974,source-file:c895af7e7b37d061,pipeline-output/runs/T07_ImplementationBridgeHelpers/covfilter/adopted/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T07_ImplementationBridgeHelpers/covfilter/adopted/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T07_ImplementationBridgeHelpers/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T07_ImplementationBridgeHelpers,azure/azure-sdk-for-java,com.azure.cosmos.implementation.ImplementationBridgeHelpers,Agentic,verified,verified_source_file_aggregate,2,2,348,505,157,543,28.913443830570902,114,169,55,238,23.10924369747899,source-file:c895af7e7b37d061,pipeline-output/runs/T07_ImplementationBridgeHelpers/covfilter/agentic/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T07_ImplementationBridgeHelpers/covfilter/agentic/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T07_ImplementationBridgeHelpers/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T08_DefaultExporterResourceProvider,camunda-cloud/zeebe,io.camunda.exporter.DefaultExporterResourceProvider,ES,verified,verified_source_file_aggregate,12,6,136,160,24,163,14.723926380368098,3,13,10,14,71.42857142857143,source-file:2de4ac17765ae1c1,pipeline-output/runs/T08_DefaultExporterResourceProvider/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T08_DefaultExporterResourceProvider/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T08_DefaultExporterResourceProvider/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T08_DefaultExporterResourceProvider,camunda-cloud/zeebe,io.camunda.exporter.DefaultExporterResourceProvider,LLM,verified,verified_source_file_aggregate,12,6,136,160,24,163,14.723926380368098,3,13,10,14,71.42857142857143,source-file:2de4ac17765ae1c1,pipeline-output/runs/T08_DefaultExporterResourceProvider/covfilter/adopted/20260826-1400-rq1-adopted-oracle-repair/baseline_manual.exec,pipeline-output/runs/T08_DefaultExporterResourceProvider/covfilter/adopted/20260826-1400-rq1-adopted-oracle-repair/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T08_DefaultExporterResourceProvider/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T08_DefaultExporterResourceProvider,camunda-cloud/zeebe,io.camunda.exporter.DefaultExporterResourceProvider,Agentic,verified,verified_source_file_aggregate,7,5,136,163,27,163,16.56441717791411,3,8,5,14,35.714285714285715,source-file:2de4ac17765ae1c1,pipeline-output/runs/T08_DefaultExporterResourceProvider/covfilter/agentic/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T08_DefaultExporterResourceProvider/covfilter/agentic/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T08_DefaultExporterResourceProvider/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T09_AdminServerUiAutoConfiguration,codecentric/spring-boot-admin,de.codecentric.boot.admin.server.ui.config.AdminServerUiAutoConfiguration,ES,verified,verified_source_file_aggregate,18,4,93,109,16,109,14.678899082568808,7,13,6,14,42.857142857142854,source-file:1faae84e904cfffb,pipeline-output/runs/T09_AdminServerUiAutoConfiguration/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T09_AdminServerUiAutoConfiguration/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T09_AdminServerUiAutoConfiguration/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T09_AdminServerUiAutoConfiguration,codecentric/spring-boot-admin,de.codecentric.boot.admin.server.ui.config.AdminServerUiAutoConfiguration,LLM,verified,verified_source_file_aggregate,4,2,93,109,16,109,14.678899082568808,7,7,0,14,0.0,source-file:1faae84e904cfffb,pipeline-output/runs/T09_AdminServerUiAutoConfiguration/covfilter/adopted/20260828-1200-assertion-insensitive-lineage/baseline_manual.exec,pipeline-output/runs/T09_AdminServerUiAutoConfiguration/covfilter/adopted/20260828-1200-assertion-insensitive-lineage/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T09_AdminServerUiAutoConfiguration/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T09_AdminServerUiAutoConfiguration,codecentric/spring-boot-admin,de.codecentric.boot.admin.server.ui.config.AdminServerUiAutoConfiguration,Agentic,verified,verified_source_file_aggregate,3,2,93,109,16,109,14.678899082568808,7,7,0,14,0.0,source-file:1faae84e904cfffb,pipeline-output/runs/T09_AdminServerUiAutoConfiguration/covfilter/agentic/20260828-1200-assertion-insensitive-lineage/baseline_manual.exec,pipeline-output/runs/T09_AdminServerUiAutoConfiguration/covfilter/agentic/20260828-1200-assertion-insensitive-lineage/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T09_AdminServerUiAutoConfiguration/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T10_UiController,codecentric/spring-boot-admin,de.codecentric.boot.admin.server.ui.web.UiController,ES,verified,verified_source_file_aggregate,70,6,30,39,9,40,22.5,9,11,2,12,16.666666666666668,source-file:e05707c81fb9e25f,pipeline-output/runs/T10_UiController/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T10_UiController/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T10_UiController/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T10_UiController,codecentric/spring-boot-admin,de.codecentric.boot.admin.server.ui.web.UiController,LLM,verified,verified_source_file_aggregate,6,4,30,38,8,40,20.0,9,10,1,12,8.333333333333334,source-file:e05707c81fb9e25f,pipeline-output/runs/T10_UiController/covfilter/adopted/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T10_UiController/covfilter/adopted/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T10_UiController/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T10_UiController,codecentric/spring-boot-admin,de.codecentric.boot.admin.server.ui.web.UiController,Agentic,verified,verified_source_file_aggregate,11,3,30,35,5,40,12.5,9,11,2,12,16.666666666666668,source-file:e05707c81fb9e25f,pipeline-output/runs/T10_UiController/covfilter/agentic/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T10_UiController/covfilter/agentic/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T10_UiController/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T11_DropwizardResourceConfig,dropwizard/dropwizard,io.dropwizard.jersey.DropwizardResourceConfig,ES,verified,verified_source_file_aggregate,23,4,157,159,2,162,1.2345679012345678,47,50,3,53,5.660377358490566,source-file:7a2b19145940d8c7,pipeline-output/runs/T11_DropwizardResourceConfig/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T11_DropwizardResourceConfig/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T11_DropwizardResourceConfig/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T11_DropwizardResourceConfig,dropwizard/dropwizard,io.dropwizard.jersey.DropwizardResourceConfig,LLM,verified,verified_source_file_aggregate,6,4,157,159,2,162,1.2345679012345678,47,50,3,53,5.660377358490566,source-file:7a2b19145940d8c7,pipeline-output/runs/T11_DropwizardResourceConfig/covfilter/adopted/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T11_DropwizardResourceConfig/covfilter/adopted/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T11_DropwizardResourceConfig/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T11_DropwizardResourceConfig,dropwizard/dropwizard,io.dropwizard.jersey.DropwizardResourceConfig,Agentic,verified,verified_source_file_aggregate,17,4,157,160,3,162,1.8518518518518519,47,50,3,53,5.660377358490566,source-file:7a2b19145940d8c7,pipeline-output/runs/T11_DropwizardResourceConfig/covfilter/agentic/20260828-1720-adapted-only-import-fix/baseline_manual.exec,pipeline-output/runs/T11_DropwizardResourceConfig/covfilter/agentic/20260828-1720-adapted-only-import-fix/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T11_DropwizardResourceConfig/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T12_ContextHandler,eclipse/jetty.project,org.eclipse.jetty.ee9.nested.ContextHandler,ES,verified,verified_source_file_aggregate,268,139,378,742,364,1030,35.33980582524272,132,267,135,480,28.125,source-file:ebc73ee0610c730c,pipeline-output/runs/T12_ContextHandler/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T12_ContextHandler/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T12_ContextHandler/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T12_ContextHandler,eclipse/jetty.project,org.eclipse.jetty.ee9.nested.ContextHandler,LLM,verified,verified_source_file_aggregate,2,2,378,398,20,1030,1.941747572815534,132,137,5,480,1.0416666666666667,source-file:ebc73ee0610c730c,pipeline-output/runs/T12_ContextHandler/covfilter/adopted/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T12_ContextHandler/covfilter/adopted/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T12_ContextHandler/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T12_ContextHandler,eclipse/jetty.project,org.eclipse.jetty.ee9.nested.ContextHandler,Agentic,verified,verified_source_file_aggregate,21,14,378,476,98,1030,9.514563106796116,132,168,36,480,7.5,source-file:ebc73ee0610c730c,pipeline-output/runs/T12_ContextHandler/covfilter/agentic/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T12_ContextHandler/covfilter/agentic/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T12_ContextHandler/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T13_HttpConnection,eclipse/jetty.project,org.eclipse.jetty.server.internal.HttpConnection,ES,verified,verified_source_file_aggregate,48,16,483,510,27,742,3.638814016172507,249,269,20,447,4.47427293064877,source-file:7bd5583c1adfb110,pipeline-output/runs/T13_HttpConnection/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T13_HttpConnection/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T13_HttpConnection/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T13_HttpConnection,eclipse/jetty.project,org.eclipse.jetty.server.internal.HttpConnection,LLM,verified,verified_source_file_aggregate,1,1,483,485,2,742,0.2695417789757412,249,253,4,447,0.8948545861297539,source-file:7bd5583c1adfb110,pipeline-output/runs/T13_HttpConnection/covfilter/adopted/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T13_HttpConnection/covfilter/adopted/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T13_HttpConnection/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T13_HttpConnection,eclipse/jetty.project,org.eclipse.jetty.server.internal.HttpConnection,Agentic,verified,verified_source_file_aggregate,3,2,483,491,8,742,1.0781671159029649,249,253,4,447,0.8948545861297539,source-file:7bd5583c1adfb110,pipeline-output/runs/T13_HttpConnection/covfilter/agentic/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T13_HttpConnection/covfilter/agentic/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T13_HttpConnection/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T14_ConfigXmlGenerator,hazelcast/hazelcast,com.hazelcast.config.ConfigXmlGenerator,ES,verified,verified_source_file_aggregate,132,25,939,987,48,1015,4.729064039408867,229,268,39,293,13.310580204778157,source-file:d70b03343cd5b66c,pipeline-output/runs/T14_ConfigXmlGenerator/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T14_ConfigXmlGenerator/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T14_ConfigXmlGenerator/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T14_ConfigXmlGenerator,hazelcast/hazelcast,com.hazelcast.config.ConfigXmlGenerator,LLM,verified,verified_source_file_aggregate,1,1,939,945,6,1015,0.5911330049261084,229,230,1,293,0.3412969283276451,source-file:d70b03343cd5b66c,pipeline-output/runs/T14_ConfigXmlGenerator/covfilter/adopted/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T14_ConfigXmlGenerator/covfilter/adopted/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T14_ConfigXmlGenerator/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T14_ConfigXmlGenerator,hazelcast/hazelcast,com.hazelcast.config.ConfigXmlGenerator,Agentic,verified,verified_source_file_aggregate,3,2,939,962,23,1015,2.2660098522167487,229,242,13,293,4.436860068259386,source-file:d70b03343cd5b66c,pipeline-output/runs/T14_ConfigXmlGenerator/covfilter/agentic/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T14_ConfigXmlGenerator/covfilter/agentic/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T14_ConfigXmlGenerator/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
